comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Morgana,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Jax,Jhin,Maokai,Mordekaiser,Morgana,Nunu,Rhaast,TahmKench,Xayah","Item_StargazerEmblemItem,Item_FrozenHeart,Item_RunaansHurricane,Item_RapidFireCannon,Item_WarmogsArmor,Item_Redemption,Item_Deathblade,Item_InfinityEdge,Item_GargoyleStoneplate,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_Crownguard","DRX:1,DarkStar:1,HPTank:1,JhinUniqueTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,RangedTrait:1,Stargazer_Shield:1,Stargazer_Mountain:4",Xayah,TahmKench,24,2.67,83.33,29.17,152.35
Blitzcrank+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Nami,Nasus,Ornn,Samira,Shen","Blitzcrank,Nami,Nasus,Ornn,Samira,Shen","Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_LastWhisper,Item_Deathblade,Item_InfinityEdge,Item_MadredsBloodrazor,Item_Redemption,Item_RapidFireCannon,Item_ThiefsGloves,Item_Morellonomicon,Item_NightHarvester","BlitzcrankUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:3",Samira,Ornn,49,2.86,83.67,26.53,151.64
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_GargoyleStoneplate,Item_Leviathan,Item_SpearOfShojin,Item_WarmogsArmor,Item_StatikkShiv,Item_FrozenHeart,Item_Morellonomicon,Item_Bloodthirster,Item_IonicSpark,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,TahmKenchUniqueTrait:1,HPTank:1,ShieldTank:1,SpaceGroove:3,Timebreaker:1,AssassinTrait:1,AssassinTrait:2,Timebreaker:2",Nami,Ornn,116,3.14,78.45,17.24,151.19
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona","Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_GargoyleStoneplate,Item_PowerGauntlet,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_SpearOfShojin,Item_Morellonomicon,Item_HextechGunblade","BlitzcrankUniqueTrait:1,DarkStar:1,FlexTrait:1,ManaTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1",Bard,Nunu,28,2.75,92.86,14.29,150.63
Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai,Rhaast","Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai,Rhaast","Item_Deathblade,Item_MadredsBloodrazor,Item_LastWhisper,Item_Quicksilver,Item_RunaansHurricane,Item_RapidFireCannon,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_ThiefsGloves,Item_GuardianAngel,Item_SteraksGage,Item_Crownguard","Primordian:2,RhaastUniqueTrait:1,HPTank:1,DRX:1,MeleeTrait:1,ASTrait:2,ASTrait:3,AssassinTrait:1,AnimaSquad:1,MeleeTrait:2,ASTrait:4,DRX:2",Jinx,RekSai,306,3.57,74.18,7.19,150.46
Blitzcrank+Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Blitzcrank,Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Blitzcrank,Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_WarmogsArmor,Item_JeweledGauntlet,Item_SpearOfShojin,Item_FrozenHeart,Item_StatikkShiv,Item_AdaptiveHelm,Item_Leviathan,Item_Morellonomicon,Item_PowerGauntlet,Item_MadredsBloodrazor,Item_Redemption,Item_Crownguard","APTrait:1,BlitzcrankUniqueTrait:1,DarkStar:3,FlexTrait:1,HPTank:1,JhinUniqueTrait:1,ShieldTank:1,SpaceGroove:1,AssassinTrait:1,Timebreaker:2",Chogath,Chogath,34,2.76,88.24,14.71,149.51
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira","Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira","Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_LastWhisper,Item_InfinityEdge,Item_Deathblade,Item_Morellonomicon,Item_NightHarvester,Item_RapidFireCannon,Item_Redemption,Item_MadredsBloodrazor,Item_PowerGauntlet","BlitzcrankUniqueTrait:1,JhinUniqueTrait:1,RangedTrait:1,ShieldTank:1,SpaceGroove:3,ResistTank:1,DarkStar:1,APTrait:1,RangedTrait:3,ShieldTank:2,SpaceGroove:5",Samira,Ornn,44,2.93,81.82,25.0,148.19
Bard+Karma+Lissandra+Morgana+Poppy+Rammus+Sona+Veigar,"Bard,Karma,Lissandra,Morgana,Poppy,Rammus,Sona,Veigar","Bard,Karma,Lissandra,Morgana,Poppy,Rammus,Sona,Veigar","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_StatikkShiv,Item_Leviathan,Item_FrozenHeart,Item_SpearOfShojin,Item_Morellonomicon,Item_Crownguard,Item_RabadonsDeathcap,Item_BlueBuff,Item_MadredsBloodrazor","APTrait:1,Astronaut:2,DarkStar:1,FlexTrait:1,MorganaUniqueTrait:1,ResistTank:1,SonaUniqueTrait:1,PsyOps:1",Veigar,Rammus,30,2.77,83.33,13.33,146.5
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Rhaast+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Rhaast,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Rhaast,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_LastWhisper,Item_Quicksilver,Item_Deathblade,Item_Redemption,Item_RapidFireCannon,Item_FrozenHeart,Item_GargoyleStoneplate,Item_RunaansHurricane","FioraUniqueTrait:1,RhaastUniqueTrait:1,TahmKenchUniqueTrait:1,DRX:1,MeleeTrait:2,PsyOps:1,HPTank:2,ASTrait:1,ASTrait:2,Primordian:1,HPTank:3,PsyOps:2",MasterYi,TahmKench,161,3.55,76.4,4.97,145.14
Gwen+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen","Gwen,Jhin,Nami,Nasus,Ornn,Samira,Shen","Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_LastWhisper,Item_InfinityEdge,Item_MadredsBloodrazor,Item_Deathblade,Item_NightHarvester,Item_Morellonomicon,Item_Redemption,Item_RapidFireCannon,Item_GuinsoosRageblade","JhinUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,RangedTrait:1,SpaceGroove:3,ShieldTank:1,BlitzcrankUniqueTrait:1,SpaceGroove:2,RangedTrait:2,SpaceGroove:4",Samira,Ornn,22,2.91,68.18,40.91,144.66
Akali+Belveth+Jinx+Kindred+Maokai+MissFortune+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,MissFortune,RekSai,Rhaast","Akali,Belveth,Jinx,Kindred,Maokai,MissFortune,RekSai,Rhaast","Item_Deathblade,Item_WarmogsArmor,Item_LastWhisper,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_UnstableConcoction,Item_Crownguard,Item_RunaansHurricane,Item_FrozenHeart,Item_Quicksilver,Item_RapidFireCannon,Item_GargoyleStoneplate","HPTank:1,MissFortuneUniqueTrait:1,RhaastUniqueTrait:1,DRX:1,MeleeTrait:1,Primordian:1,ASTrait:3,ASTrait:4,Primordian:2,DRX:2,MeleeTrait:2,SpaceGroove:1",Jinx,RekSai,39,2.92,87.18,5.13,143.8
Bard+Corki+Fizz+Galio+Milio+Rammus+Riven+Shen,"Bard,Corki,Fizz,Galio,Milio,Rammus,Riven,Shen","Bard,Corki,Fizz,Galio,Milio,Rammus,Riven,Shen","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_SteraksGage,Item_WarmogsArmor,Item_Crownguard,Item_FrozenHeart,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_Morellonomicon,Item_Bloodthirster","Fateweaver:1,ShenUniqueTrait:1,Astronaut:2,ResistTank:1,FlexTrait:1,Timebreaker:1,AssassinTrait:1,AssassinTrait:2,FlexTrait:2,Timebreaker:2,Timebreaker:3,ResistTank:2",Corki,Rammus,90,3.27,78.89,8.89,142.39
Blitzcrank+Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona,"Blitzcrank,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona","Blitzcrank,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_FrozenHeart,Item_JeweledGauntlet,Item_WarmogsArmor,Item_StatikkShiv,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_SpearOfShojin,Item_Morellonomicon,Item_Crownguard,Item_RabadonsDeathcap","BlitzcrankUniqueTrait:1,DarkStar:1,MorganaUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,ShieldTank:1,ShieldTank:2,PsyOps:1,FlexTrait:2,FlexTrait:3",Leblanc,Morgana,20,2.85,75.0,20.0,142.0
Aatrox+Jax+Lulu+Maokai+Milio+Pantheon+Rhaast+TwistedFate,"Aatrox,Jax,Lulu,Maokai,Milio,Pantheon,Rhaast,TwistedFate","Aatrox,Jax,Lulu,Maokai,Milio,Pantheon,Rhaast,TwistedFate","Item_GargoyleStoneplate,Item_Leviathan,Item_StargazerEmblemItem,Item_JeweledGauntlet,Item_SpearOfShojin,Item_WarmogsArmor,Item_FrozenHeart,Item_Morellonomicon,Item_AdaptiveHelm,Item_Redemption,Item_Crownguard,Item_NightHarvester","DRX:1,APTrait:1,Fateweaver:1,HPTank:1,ResistTank:1,RhaastUniqueTrait:1,Timebreaker:1,Stargazer_Medallion:1,Stargazer_Fountain:1,Stargazer_Mountain:5,Stargazer_Serpent:1,Stargazer_Huntress:1",Lulu,Jax,374,3.85,65.51,9.09,141.93
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,TahmKench,Xayah","Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,TahmKench,Xayah","Item_RunaansHurricane,Item_FrozenHeart,Item_StargazerEmblemItem,Item_RapidFireCannon,Item_InfinityEdge,Item_Redemption,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_Crownguard,Item_GargoyleStoneplate,Item_Deathblade,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DRX:1,HPTank:1,JhinUniqueTrait:1,ResistTank:1,ShieldTank:1,SpaceGroove:1,TahmKenchUniqueTrait:1,MorganaUniqueTrait:1,RangedTrait:1,Stargazer_Serpent:1,Stargazer_Shield:1",Xayah,TahmKench,46,3.2,78.26,23.91,141.47
AurelionSol+Blitzcrank+Galio+Karma+Mordekaiser+Morgana+Rhaast,"AurelionSol,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast","AurelionSol,Blitzcrank,Galio,Karma,Mordekaiser,Morgana,Rhaast","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_Morellonomicon,Item_SteraksGage,Item_MadredsBloodrazor,Item_FrozenHeart,Item_NightHarvester,Item_SpearOfShojin,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,ShieldTank:1,SpaceGroove:1,Mecha:2,FlexTrait:1,FlexTrait:2,Mecha:1,TFTEvent5YR_Crystal:1",AurelionSol,Galio,105,3.46,75.24,11.43,140.13
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,TahmKench","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_RabadonsDeathcap,Item_Morellonomicon,Item_FrozenHeart,Item_ThiefsGloves,Item_Crownguard","APTrait:1,BlitzcrankUniqueTrait:1,SpaceGroove:4,TahmKenchUniqueTrait:1,HPTank:1,ShieldTank:1,Timebreaker:1,AssassinTrait:1,ResistTank:1,RangedTrait:1,AssassinTrait:2,Timebreaker:2",Nami,TahmKench,52,3.25,82.69,13.46,139.92
Akali+Belveth+Briar+Gwen+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Gwen,Jinx,Kindred,Maokai,RekSai,Rhaast","Akali,Belveth,Briar,Gwen,Jinx,Kindred,Maokai,RekSai,Rhaast","Item_Deathblade,Item_LastWhisper,Item_Quicksilver,Item_UnstableConcoction,Item_GargoyleStoneplate,Item_PowerGauntlet,Item_RunaansHurricane,Item_SteraksGage,Item_MadredsBloodrazor,Item_GuardianAngel,Item_RapidFireCannon,Item_WarmogsArmor","AssassinTrait:1,DRX:1,HPTank:1,MeleeTrait:1,Primordian:2,RhaastUniqueTrait:1,SpaceGroove:1,ASTrait:2,ASTrait:3",Jinx,RekSai,21,2.9,85.71,0.0,139.34
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Blitzcrank,Gwen,Nami,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Leviathan,Item_StatikkShiv,Item_SpaceGrooveEmblemItem,Item_FrozenHeart,Item_Redemption,Item_SpearOfShojin,Item_MadredsBloodrazor,Item_RabadonsDeathcap,Item_RapidFireCannon","BlitzcrankUniqueTrait:1,ShenUniqueTrait:1,TahmKenchUniqueTrait:1,APTrait:1,HPTank:1,ResistTank:1,AssassinTrait:1,Timebreaker:1,SpaceGroove:3,RangedTrait:1,ShieldTank:1,SpaceGroove:4",Nami,Ornn,22,3.14,86.36,13.64,139.21
Chogath+Illaoi+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Illaoi,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Chogath,Illaoi,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_WarmogsArmor,Item_JeweledGauntlet,Item_SpearOfShojin,Item_FrozenHeart,Item_AdaptiveHelm,Item_StatikkShiv,Item_Leviathan,Item_MadredsBloodrazor,Item_Redemption,Item_GargoyleStoneplate,Item_InfinityEdge,Item_Morellonomicon","APTrait:1,DarkStar:3,HPTank:1,JhinUniqueTrait:1,ShieldTank:1,FlexTrait:1,SpaceGroove:1,AssassinTrait:1,FlexTrait:2,TFTEvent5YR_Mountain:2,TFTEvent5YR_Preserver:1,RangedTrait:1",Chogath,Chogath,89,3.45,75.28,13.48,138.52
Chogath+Ezreal+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Ezreal,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Chogath,Ezreal,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_Leviathan,Item_WarmogsArmor,Item_JeweledGauntlet,Item_FrozenHeart,Item_SpearOfShojin,Item_InfinityEdge,Item_GargoyleStoneplate,Item_StatikkShiv,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_Crownguard,Item_Redemption","APTrait:1,DarkStar:3,FlexTrait:1,HPTank:1,JhinUniqueTrait:1,RangedTrait:1,Timebreaker:1,ShieldTank:1,AssassinTrait:1,APTrait:2,DarkStar:4,FlexTrait:3",Chogath,Chogath,45,3.24,75.56,15.56,136.75
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Leviathan,Item_StatikkShiv,Item_SpearOfShojin,Item_Bloodthirster,Item_RabadonsDeathcap,Item_Morellonomicon,Item_RapidFireCannon,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:3,TahmKenchUniqueTrait:1,AssassinTrait:1,Timebreaker:1,ShieldTank:1,Timebreaker:2",Nami,Ornn,23,3.17,73.91,21.74,136.06
Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven+Shen,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven,Shen","Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven,Shen","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_Crownguard,Item_FrozenHeart,Item_ResistTankEmblemItem,Item_SteraksGage,Item_Morellonomicon,Item_InfinityEdge,Item_Bloodthirster,Item_PowerGauntlet","Fateweaver:1,ShenUniqueTrait:1,Astronaut:2,AssassinTrait:1,Timebreaker:1,FlexTrait:1,ResistTank:2,ResistTank:1,FlexTrait:2,Timebreaker:2,AssassinTrait:2,Astronaut:3",Corki,Rammus,46,3.33,76.09,15.22,135.38
AurelionSol+Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona,"AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona","AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona","Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_Morellonomicon,Item_AdaptiveHelm,Item_PowerGauntlet,Item_ThiefsGloves,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:2,ShieldTank:2,FlexTrait:1,FlexTrait:2,TFTEvent5YR_Bilgewater:2,TFTEvent5YR_Ixtal:1,Stargazer_Mountain:3,Astronaut:1",AurelionSol,Nunu,128,3.77,66.41,14.84,134.75
Akali+Belveth+Diana+Jinx+Kindred+Maokai+RekSai+Rhaast,"Akali,Belveth,Diana,Jinx,Kindred,Maokai,RekSai,Rhaast","Akali,Belveth,Diana,Jinx,Kindred,Maokai,RekSai,Rhaast","Item_RunaansHurricane,Item_Deathblade,Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_RapidFireCannon,Item_WarmogsArmor,Item_Crownguard,Item_PowerGauntlet,Item_GargoyleStoneplate,Item_UnstableConcoction,Item_ThiefsGloves","DRX:1,HPTank:1,MeleeTrait:1,RhaastUniqueTrait:1,Primordian:1,ASTrait:3,ASTrait:4,Primordian:2,ADMIN:1",Jinx,RekSai,24,3.21,87.5,0.0,134.43
AurelionSol+Bard+Galio+Karma+Mordekaiser+Morgana+Nunu,"AurelionSol,Bard,Galio,Karma,Mordekaiser,Morgana,Nunu","AurelionSol,Bard,Galio,Karma,Mordekaiser,Morgana,Nunu","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_StatikkShiv,Item_FrozenHeart,Item_Morellonomicon,Item_WarmogsArmor,Item_SteraksGage,Item_AdaptiveHelm,Item_ThiefsGloves,Item_MadredsBloodrazor,Item_Crownguard","DarkStar:1,ManaTrait:2,MorganaUniqueTrait:1,ShieldTank:1,FlexTrait:1,Mecha:2,Mecha:1,FlexTrait:2",AurelionSol,Galio,45,3.47,75.56,20.0,133.64
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+Shen,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen","Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Riven,Shen","Item_JeweledGauntlet,Item_SpearOfShojin,Item_GargoyleStoneplate,Item_Leviathan,Item_WarmogsArmor,Item_StatikkShiv,Item_Morellonomicon,Item_SpaceGrooveEmblemItem,Item_AdaptiveHelm,Item_IonicSpark,Item_HPTankEmblemItem,Item_Bloodthirster","APTrait:1,BlitzcrankUniqueTrait:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,Timebreaker:1,ShieldTank:1,AssassinTrait:1,SpaceGroove:3,HPTank:1,SpaceGroove:4,AssassinTrait:2",Nami,Morgana,24,3.25,75.0,16.67,133.6
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen","Item_JeweledGauntlet,Item_SpaceGrooveEmblemItem,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_Morellonomicon,Item_AdaptiveHelm,Item_BlueBuff,Item_HPTankEmblemItem,Item_Bloodthirster","APTrait:1,BlitzcrankUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,Timebreaker:1,SpaceGroove:4,AssassinTrait:1,HPTank:1,AssassinTrait:2,RangedTrait:1,SpaceGroove:3",Nami,Ornn,25,3.36,80.0,16.0,133.35
Bard+Karma+Lissandra+Poppy+Rammus+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar,Viktor","Bard,Karma,Lissandra,Poppy,Rammus,Sona,Veigar,Viktor","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_Leviathan,Item_SpearOfShojin,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_PowerGauntlet,Item_FrozenHeart,Item_AdaptiveHelm,Item_BlueBuff,Item_Morellonomicon","APTrait:1,DarkStar:1,ManaTrait:1,PsyOps:1,ResistTank:1,SonaUniqueTrait:1,Astronaut:2,FlexTrait:1,FlexTrait:2,Astronaut:3",Veigar,Rammus,34,3.38,76.47,17.65,133.34
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar","Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar","Item_JeweledGauntlet,Item_SpearOfShojin,Item_GargoyleStoneplate,Item_StatikkShiv,Item_Leviathan,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_FrozenHeart,Item_RapidFireCannon,Item_Crownguard,Item_BlueBuff","APTrait:1,Astronaut:2,DarkStar:1,FlexTrait:1,ResistTank:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,PsyOps:1",Veigar,Rammus,29,3.34,72.41,20.69,132.63
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Sona,Vex","Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_StatikkShiv,Item_FrozenHeart,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_ThiefsGloves,Item_Morellonomicon,Item_SpearOfShojin","BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ManaTrait:1,DarkStar:1,ShieldTank:2,FlexTrait:1,PsyOps:1,FlexTrait:2,Astronaut:1,ShieldTank:3",Vex,Nunu,413,4.16,57.63,8.72,132.47
Akali+Belveth+Jinx+Kindred+Maokai+Morgana+RekSai+Rhaast,"Akali,Belveth,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Akali,Belveth,Jinx,Kindred,Maokai,Morgana,RekSai,Rhaast","Item_Deathblade,Item_MadredsBloodrazor,Item_LastWhisper,Item_GargoyleStoneplate,Item_RapidFireCannon,Item_RunaansHurricane,Item_Quicksilver,Item_FrozenHeart,Item_ThiefsGloves,Item_PowerGauntlet,Item_Crownguard,Item_GuardianAngel","DRX:1,HPTank:1,MeleeTrait:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,Primordian:1,ASTrait:2,ASTrait:3,Primordian:2,ASTrait:4",Jinx,RekSai,20,3.3,80.0,10.0,132.0
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Shen+TahmKench,"Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Shen,TahmKench","Blitzcrank,Gwen,Morgana,Nami,Nasus,Ornn,Pantheon,Shen,TahmKench","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_Leviathan,Item_WarmogsArmor,Item_SpearOfShojin,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_Morellonomicon,Item_ThiefsGloves,Item_RabadonsDeathcap,Item_MadredsBloodrazor","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,MorganaUniqueTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,SpaceGroove:3,SpaceGroove:4,Timebreaker:1,AssassinTrait:1",Nami,Morgana,22,3.41,81.82,13.64,131.94
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Morgana+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Morgana,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_Quicksilver,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_Redemption,Item_Deathblade,Item_GargoyleStoneplate,Item_UnstableConcoction,Item_SteraksGage,Item_RapidFireCannon","DRX:1,FioraUniqueTrait:1,TahmKenchUniqueTrait:1,MorganaUniqueTrait:1,PsyOps:1,MeleeTrait:2,HPTank:2,ASTrait:1,HPTank:3,ASTrait:2,Primordian:1,MeleeTrait:3",MasterYi,TahmKench,102,3.75,69.61,8.82,130.69
