comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score,units_kr,core_units_kr,core_items_kr,core_traits_kr,main_carry_kr,main_tank_kr
Akali+Belveth+Briar+Diana+Jinx+Kindred+Maokai+RekSai,"Akali,Belveth,Briar,Diana,Jinx,Kindred,Maokai,RekSai","Akali,Belveth,Briar,Diana,Jinx,Kindred,Maokai,RekSai","Item_Deathblade,Item_LastWhisper,Item_MadredsBloodrazor,Item_Quicksilver,Item_RunaansHurricane,Item_GargoyleStoneplate,Item_SteraksGage,Item_WarmogsArmor,Item_PowerGauntlet,Item_RedBuff,Item_FrozenHeart,Item_GuardianAngel","Primordian:2,DRX:1,HPTank:1,MeleeTrait:1,ASTrait:3,ASTrait:4,ADMIN:1,AnimaSquad:1,AssassinTrait:1,DRX:2,HPTank:2,MeleeTrait:2",Belveth,RekSai,20,3.8,60.0,0.0,111.0,"아칼리,벨베스,브라이어,다이애나,징크스,킨드레드,마오카이,렉사이","아칼리,벨베스,브라이어,다이애나,징크스,킨드레드,마오카이,렉사이","죽음의 검,최후의 속삭임,거인 학살자,수은,크라켄의 분노,가고일 돌갑옷,스테락의 도전,워모그의 갑옷,타격대의 철퇴,태양불꽃 망토,수호자의 맹세,밤의 끝자락","태고족 2,N.O.V.A. 1,싸움꾼 1,습격자 1,도전자 3,도전자 4,중재자 1,동물특공대 1,불한당 1,N.O.V.A. 2,싸움꾼 2,습격자 2",벨베스,렉사이
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Shen+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Shen,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Shen,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_LastWhisper,Item_WarmogsArmor,Item_Quicksilver,Item_GuinsoosRageblade,Item_Deathblade,Item_SteraksGage,Item_RunaansHurricane,Item_RapidFireCannon,Item_ThiefsGloves,Item_GargoyleStoneplate","DRX:1,FioraUniqueTrait:1,HPTank:2,PsyOps:1,ShenUniqueTrait:1,TahmKenchUniqueTrait:1,MeleeTrait:2,ASTrait:1,ResistTank:1,ASTrait:2,SpaceGroove:1,ASTrait:3",Kindred,TahmKench,45,4.13,60.0,8.89,110.75,"벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,쉔,탐 켄치,우르곳","벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,쉔,탐 켄치,우르곳","밤의 끝자락,거인 학살자,최후의 속삭임,워모그의 갑옷,수은,구인수의 격노검,죽음의 검,스테락의 도전,크라켄의 분노,붉은 덩굴정령,도적의 장갑,가고일 돌갑옷","N.O.V.A. 1,신성 결투가 1,싸움꾼 2,초능력 1,보루 1,예언자 1,습격자 2,도전자 1,요새 1,도전자 2,우주 그루브 1,도전자 3",킨드레드,탐 켄치
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona","Item_JeweledGauntlet,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_Morellonomicon,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_PowerGauntlet,Item_SpearOfShojin,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:1,MorganaUniqueTrait:1,ShieldTank:2,FlexTrait:1,Astronaut:1,PsyOps:1,FlexTrait:2,ShieldTank:3",Bard,Morgana,144,4.6,48.61,4.17,110.35,"바드,블리츠크랭크,일라오이,카르마,모데카이저,모르가나,누누와 윌럼프,소나","바드,블리츠크랭크,일라오이,카르마,모데카이저,모르가나,누누와 윌럼프,소나","보석 건틀릿,공허의 지팡이,가고일 돌갑옷,수호자의 맹세,워모그의 갑옷,거인 학살자,모렐로노미콘,라바돈의 죽음모자,적응형 투구,타격대의 철퇴,쇼진의 창,도적의 장갑","파티광 1,지휘관 1,우주 그루브 1,암흑의 별 1,전달자 1,어둠의 여인 1,선봉대 2,여행자 1,정령족 1,초능력 1,여행자 2,선봉대 3",바드,모르가나
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona,Vex","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_StatikkShiv,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_RabadonsDeathcap,Item_Morellonomicon,Item_AdaptiveHelm,Item_ThiefsGloves,Item_SpearOfShojin,Item_PowerGauntlet","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,FlexTrait:1,PsyOps:1,ADMIN:1,FlexTrait:2,Astronaut:1",Vex,Leona,84,4.31,53.57,5.95,109.62,"바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,소나,벡스","바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,소나,벡스","가고일 돌갑옷,구인수의 격노검,보석 건틀릿,공허의 지팡이,워모그의 갑옷,거인 학살자,라바돈의 죽음모자,모렐로노미콘,적응형 투구,도적의 장갑,쇼진의 창,타격대의 철퇴","파티광 1,암흑의 별 1,전달자 1,선봉대 2,지휘관 1,우주 그루브 1,파멸자 1,여행자 1,초능력 1,중재자 1,여행자 2,정령족 1",벡스,레오나
Galio+Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona,"Galio,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona","Galio,Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona","Item_WarmogsArmor,Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_StatikkShiv,Item_JeweledGauntlet,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Morellonomicon,Item_AdaptiveHelm,Item_RabadonsDeathcap,Item_Crownguard,Item_SpearOfShojin","DarkStar:1,MorganaUniqueTrait:1,ShieldTank:1,SonaUniqueTrait:1,FlexTrait:2,FlexTrait:3,ADMIN:1,PsyOps:1",Leblanc,Morgana,24,4.08,62.5,4.17,108.18,"거대 메크 로봇,일라오이,카르마,르블랑,리산드라,모르가나,누누와 윌럼프,소나","거대 메크 로봇,일라오이,카르마,르블랑,리산드라,모르가나,누누와 윌럼프,소나","워모그의 갑옷,가고일 돌갑옷,구인수의 격노검,공허의 지팡이,보석 건틀릿,수호자의 맹세,거인 학살자,모렐로노미콘,적응형 투구,라바돈의 죽음모자,크라운가드,쇼진의 창","암흑의 별 1,어둠의 여인 1,선봉대 1,지휘관 1,여행자 2,여행자 3,중재자 1,초능력 1",르블랑,모르가나
AurelionSol+Bard+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona,"AurelionSol,Bard,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona","AurelionSol,Bard,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona","Item_JeweledGauntlet,Item_StatikkShiv,Item_MadredsBloodrazor,Item_GargoyleStoneplate,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_FrozenHeart,Item_Morellonomicon,Item_PowerGauntlet,Item_AdaptiveHelm,Item_HextechGunblade,Item_NightHarvester","DarkStar:1,ManaTrait:2,ShieldTank:2,SonaUniqueTrait:1,FlexTrait:1,FlexTrait:2",AurelionSol,Leona,22,4.05,59.09,4.55,107.39,"아우렐리온 솔,바드,일라오이,카르마,레오나,모데카이저,누누와 윌럼프,소나","아우렐리온 솔,바드,일라오이,카르마,레오나,모데카이저,누누와 윌럼프,소나","보석 건틀릿,공허의 지팡이,거인 학살자,가고일 돌갑옷,라바돈의 죽음모자,워모그의 갑옷,수호자의 맹세,모렐로노미콘,타격대의 철퇴,적응형 투구,마법공학 총검,굳건한 심장","암흑의 별 1,전달자 2,선봉대 2,지휘관 1,여행자 1,여행자 2",아우렐리온 솔,레오나
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona+Teemo,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona,Teemo","Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Sona,Teemo","Item_SummonTraitEmblemItem,Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_StatikkShiv,Item_MadredsBloodrazor,Item_Morellonomicon,Item_FrozenHeart,Item_AdaptiveHelm,Item_SpearOfShojin,Item_RapidFireCannon","DarkStar:1,MorganaUniqueTrait:1,ShieldTank:1,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,FlexTrait:2,ADMIN:1,PsyOps:1,Stargazer_Mountain:2",Leblanc,Morgana,31,4.1,54.84,6.45,106.59,"일라오이,카르마,르블랑,리산드라,모르가나,누누와 윌럼프,소나,티모","일라오이,카르마,르블랑,리산드라,모르가나,누누와 윌럼프,소나,티모","길잡이 상징,구인수의 격노검,보석 건틀릿,가고일 돌갑옷,워모그의 갑옷,공허의 지팡이,거인 학살자,모렐로노미콘,수호자의 맹세,적응형 투구,쇼진의 창,붉은 덩굴정령","암흑의 별 1,어둠의 여인 1,선봉대 1,지휘관 1,우주 그루브 1,여행자 1,여행자 2,중재자 1,초능력 1,별돌보미 2",르블랑,모르가나
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Sona+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Sona,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Sona,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_PsyOpsEmblemItem,Item_LastWhisper,Item_FrozenHeart,Item_Quicksilver,Item_WarmogsArmor,Item_Deathblade,Item_RedBuff,Item_Redemption,Item_RunaansHurricane,Item_SteraksGage","DRX:1,FioraUniqueTrait:1,MeleeTrait:2,SonaUniqueTrait:1,TahmKenchUniqueTrait:1,HPTank:2,ASTrait:1,PsyOps:2,PsyOps:1,Primordian:1,ASTrait:2,SpaceGroove:1",MasterYi,TahmKench,42,4.17,54.76,2.38,105.59,"벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,소나,탐 켄치,우르곳","벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,소나,탐 켄치,우르곳","밤의 끝자락,거인 학살자,초능력 상징,최후의 속삭임,수호자의 맹세,수은,워모그의 갑옷,죽음의 검,태양불꽃 망토,정령의 형상,크라켄의 분노,스테락의 도전","N.O.V.A. 1,신성 결투가 1,습격자 2,지휘관 1,예언자 1,싸움꾼 2,도전자 1,초능력 2,초능력 1,태고족 1,도전자 2,우주 그루브 1",마스터 이,탐 켄치
Bard+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Rhaast+Veigar,"Bard,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Rhaast,Veigar","Bard,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Rhaast,Veigar","Item_Leviathan,Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_SpearOfShojin,Item_DragonsClaw,Item_StatikkShiv,Item_WarmogsArmor,Item_ThiefsGloves,Item_NightHarvester,Item_Morellonomicon,Item_RabadonsDeathcap,Item_AdaptiveHelm","APTrait:1,DarkStar:1,ManaTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShieldTank:1,Astronaut:2,Astronaut:3,FlexTrait:1",Veigar,Rammus,22,4.14,59.09,4.55,105.57,"바드,일라오이,리산드라,모데카이저,뽀삐,람머스,라아스트,베이가","바드,일라오이,리산드라,모데카이저,뽀삐,람머스,라아스트,베이가","내셔의 이빨,가고일 돌갑옷,보석 건틀릿,쇼진의 창,용의 발톱,공허의 지팡이,워모그의 갑옷,도적의 장갑,굳건한 심장,모렐로노미콘,라바돈의 죽음모자,적응형 투구","복제자 1,암흑의 별 1,전달자 1,요새 1,구원자 1,선봉대 1,정령족 2,정령족 3,여행자 1",베이가,람머스
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+Pantheon+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Pantheon,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,Pantheon,TahmKench,Urgot","Item_GuardianAngel,Item_HPTankEmblemItem,Item_MadredsBloodrazor,Item_LastWhisper,Item_FrozenHeart,Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_RunaansHurricane,Item_RapidFireCannon,Item_Redemption,Item_Deathblade","FioraUniqueTrait:1,MeleeTrait:2,PsyOps:1,TahmKenchUniqueTrait:1,DRX:1,HPTank:3,ASTrait:1,ASTrait:2,ASTrait:3,Timebreaker:1,HPTank:2,FlexTrait:1",MasterYi,TahmKench,33,4.24,57.58,6.06,104.95,"벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,판테온,탐 켄치,우르곳","벨베스,피오라,그라가스,킨드레드,마오카이,마스터 이,판테온,탐 켄치,우르곳","밤의 끝자락,싸움꾼 상징,거인 학살자,최후의 속삭임,수호자의 맹세,가고일 돌갑옷,구인수의 격노검,워모그의 갑옷,크라켄의 분노,붉은 덩굴정령,정령의 형상,죽음의 검","신성 결투가 1,습격자 2,초능력 1,예언자 1,N.O.V.A. 1,싸움꾼 3,도전자 1,도전자 2,도전자 3,시간 균열자 1,싸움꾼 2,여행자 1",마스터 이,탐 켄치
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Pyke+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Pyke,Sona","Item_JeweledGauntlet,Item_StatikkShiv,Item_FrozenHeart,Item_MadredsBloodrazor,Item_AdaptiveHelm,Item_SpearOfShojin,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_GargoyleStoneplate,Item_Morellonomicon,Item_PowerGauntlet,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,PsyOps:1,FlexTrait:2,FlexTrait:3,PsyOps:2,Astronaut:1",Bard,Nunu,55,4.31,52.73,5.45,104.8,"바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,파이크,소나","바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,파이크,소나","보석 건틀릿,공허의 지팡이,수호자의 맹세,거인 학살자,적응형 투구,쇼진의 창,워모그의 갑옷,라바돈의 죽음모자,가고일 돌갑옷,모렐로노미콘,타격대의 철퇴,도적의 장갑","파티광 1,암흑의 별 1,전달자 1,선봉대 2,지휘관 1,우주 그루브 1,초능력 1,여행자 2,여행자 3,초능력 2,정령족 1",바드,누누와 윌럼프
Chogath+Galio+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,"Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Chogath,Galio,Jhin,Kaisa,Karma,Lissandra,Mordekaiser,Pantheon","Item_WarmogsArmor,Item_JeweledGauntlet,Item_AdaptiveHelm,Item_FrozenHeart,Item_StatikkShiv,Item_MadredsBloodrazor,Item_SpearOfShojin,Item_GargoyleStoneplate,Item_Redemption,Item_RapidFireCannon,Item_InfinityEdge,Item_Leviathan","APTrait:1,DarkStar:3,HPTank:1,JhinUniqueTrait:1,FlexTrait:1,FlexTrait:2,RangedTrait:1,FlexTrait:3,Timebreaker:1,ShieldTank:1",Chogath,Chogath,36,4.33,58.33,5.56,103.73,"초가스,거대 메크 로봇,진,카이사,카르마,리산드라,모데카이저,판테온","초가스,거대 메크 로봇,진,카이사,카르마,리산드라,모데카이저,판테온","워모그의 갑옷,보석 건틀릿,적응형 투구,수호자의 맹세,공허의 지팡이,거인 학살자,쇼진의 창,가고일 돌갑옷,정령의 형상,붉은 덩굴정령,무한의 대검,내셔의 이빨","복제자 1,암흑의 별 3,싸움꾼 1,말살자 1,여행자 1,여행자 2,저격수 1,여행자 3,시간 균열자 1,선봉대 1",초가스,초가스
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Morgana+Sona,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Morgana,Sona","Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Morgana,Sona","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_WarmogsArmor,Item_Morellonomicon,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_SpearOfShojin,Item_FrozenHeart,Item_AdaptiveHelm,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,MorganaUniqueTrait:1,ADMIN:1,FlexTrait:3,PsyOps:1",Bard,Leona,24,4.33,54.17,12.5,102.35,"바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,모르가나,소나","바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,모르가나,소나","가고일 돌갑옷,보석 건틀릿,공허의 지팡이,워모그의 갑옷,모렐로노미콘,라바돈의 죽음모자,거인 학살자,타격대의 철퇴,쇼진의 창,수호자의 맹세,적응형 투구,도적의 장갑","파티광 1,암흑의 별 1,전달자 1,선봉대 2,지휘관 1,우주 그루브 1,여행자 1,어둠의 여인 1,중재자 1,여행자 3,초능력 1",바드,레오나
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Nunu+Rhaast,"AurelionSol,Galio,Karma,Mordekaiser,Morgana,Nunu,Rhaast","AurelionSol,Galio,Karma,Mordekaiser,Morgana,Nunu,Rhaast","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_RabadonsDeathcap,Item_SteraksGage,Item_Morellonomicon,Item_Redemption,Item_WarmogsArmor,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_FrozenHeart,Item_SpearOfShojin","DarkStar:1,FlexTrait:1,ManaTrait:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,ShieldTank:1,Mecha:2,Mecha:1",AurelionSol,Galio,25,4.4,56.0,8.0,100.55,"아우렐리온 솔,거대 메크 로봇,카르마,모데카이저,모르가나,누누와 윌럼프,라아스트","아우렐리온 솔,거대 메크 로봇,카르마,모데카이저,모르가나,누누와 윌럼프,라아스트","가고일 돌갑옷,보석 건틀릿,공허의 지팡이,라바돈의 죽음모자,스테락의 도전,모렐로노미콘,정령의 형상,워모그의 갑옷,적응형 투구,거인 학살자,수호자의 맹세,쇼진의 창","암흑의 별 1,여행자 1,전달자 1,어둠의 여인 1,구원자 1,선봉대 1,메카 2,메카 1",아우렐리온 솔,거대 메크 로봇
Aatrox+Akali+Blitzcrank+Fiora+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Morgana,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Morgana,Nunu,Rhaast,Shen,Vex","Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_Quicksilver,Item_GuardianAngel,Item_RapidFireCannon,Item_PowerGauntlet,Item_SteraksGage,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:1,VexUniqueTrait:1",Vex,Nunu,24,4.33,45.83,16.67,100.27,"아트록스,아칼리,블리츠크랭크,피오라,모르가나,누누와 윌럼프,라아스트,쉔,벡스","아트록스,아칼리,블리츠크랭크,피오라,모르가나,누누와 윌럼프,라아스트,쉔,벡스","구인수의 격노검,도적의 장갑,수호자의 맹세,워모그의 갑옷,가고일 돌갑옷,거인 학살자,수은,밤의 끝자락,붉은 덩굴정령,타격대의 철퇴,스테락의 도전,적응형 투구","파티광 1,N.O.V.A. 1,신성 결투가 1,습격자 1,어둠의 여인 1,요새 1,구원자 1,보루 1,선봉대 1,우주 그루브 1,파멸자 1",벡스,누누와 윌럼프
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Rhaast,Shen,Vex","Item_ThiefsGloves,Item_GuinsoosRageblade,Item_MadredsBloodrazor,Item_FrozenHeart,Item_GargoyleStoneplate,Item_Quicksilver,Item_RapidFireCannon,Item_WarmogsArmor,Item_AdaptiveHelm,Item_GuardianAngel,Item_Deathblade,Item_PowerGauntlet","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:1",Vex,Morgana,52,4.58,48.08,15.38,100.11,"아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,모르가나,라아스트,쉔,벡스","아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,모르가나,라아스트,쉔,벡스","도적의 장갑,구인수의 격노검,거인 학살자,수호자의 맹세,가고일 돌갑옷,수은,붉은 덩굴정령,워모그의 갑옷,적응형 투구,밤의 끝자락,죽음의 검,타격대의 철퇴","파티광 1,N.O.V.A. 1,신성 결투가 1,최신상 1,습격자 1,어둠의 여인 1,요새 1,구원자 1,보루 1,우주 그루브 1,파멸자 1,선봉대 1",벡스,모르가나
Bard+Corki+Fizz+Galio+Milio+Poppy+Rammus+Riven,"Bard,Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven","Bard,Corki,Fizz,Galio,Milio,Poppy,Rammus,Riven","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_AstronautEmblemItem,Item_FrozenHeart,Item_PowerGauntlet,Item_SteraksGage,Item_WarmogsArmor,Item_Crownguard,Item_Morellonomicon,Item_AssassinTraitEmblemItem,Item_Redemption","Fateweaver:1,ResistTank:1,Timebreaker:1,Astronaut:3,FlexTrait:1,AssassinTrait:1,AssassinTrait:2,Astronaut:2,FlexTrait:2,Timebreaker:2,AssassinTrait:3,Timebreaker:3",Corki,Rammus,34,4.41,52.94,2.94,98.92,"바드,코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,리븐","바드,코르키,피즈,거대 메크 로봇,밀리오,뽀삐,람머스,리븐","죽음의 검,최후의 속삭임,가고일 돌갑옷,정령족 상징,수호자의 맹세,타격대의 철퇴,스테락의 도전,워모그의 갑옷,크라운가드,모렐로노미콘,불한당 상징,정령의 형상","운명술사 1,요새 1,시간 균열자 1,정령족 3,여행자 1,불한당 1,불한당 2,정령족 2,여행자 2,시간 균열자 2,불한당 3,시간 균열자 3",코르키,람머스
Aatrox+Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai,"Aatrox,Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai","Aatrox,Akali,Belveth,Briar,Jinx,Kindred,Maokai,RekSai","Item_Quicksilver,Item_Deathblade,Item_MadredsBloodrazor,Item_RapidFireCannon,Item_WarmogsArmor,Item_DRXEmblemItem,Item_GargoyleStoneplate,Item_FrozenHeart,Item_GuinsoosRageblade,Item_PowerGauntlet,Item_Redemption,Item_ThiefsGloves","HPTank:1,MeleeTrait:1,Primordian:2,ASTrait:2,DRX:2,DRX:1,ASTrait:3,AssassinTrait:1,ResistTank:1,AssassinTrait:2,AnimaSquad:1,SpaceGroove:1",Belveth,RekSai,20,4.5,50.0,5.0,94.5,"아트록스,아칼리,벨베스,브라이어,징크스,킨드레드,마오카이,렉사이","아트록스,아칼리,벨베스,브라이어,징크스,킨드레드,마오카이,렉사이","수은,죽음의 검,거인 학살자,붉은 덩굴정령,워모그의 갑옷,N.O.V.A. 상징,가고일 돌갑옷,수호자의 맹세,구인수의 격노검,타격대의 철퇴,정령의 형상,도적의 장갑","싸움꾼 1,습격자 1,태고족 2,도전자 2,N.O.V.A. 2,N.O.V.A. 1,도전자 3,불한당 1,요새 1,불한당 2,동물특공대 1,우주 그루브 1",벨베스,렉사이
Aatrox+Belveth+Maokai+MissFortune+Ornn+Rhaast+Urgot,"Aatrox,Belveth,Maokai,MissFortune,Ornn,Rhaast,Urgot","Aatrox,Belveth,Maokai,MissFortune,Ornn,Rhaast,Urgot","Item_Deathblade,Item_InfinityEdge,Item_GuinsoosRageblade,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_Redemption,Item_MadredsBloodrazor,Item_Quicksilver,Item_RedBuff,Item_SteraksGage,Item_FrozenHeart,Item_Crownguard","DRX:1,MissFortuneUniqueTrait:1,RhaastUniqueTrait:1,SpaceGroove:1,HPTank:1,MeleeTrait:1,ResistTank:1,ASTrait:1,ASTrait:2,Primordian:1,ASTrait:3,TFTEvent5YR_TheCrew:2",MissFortune,Ornn,225,5.48,29.78,1.33,92.62,"아트록스,벨베스,마오카이,미스 포츈,오른,라아스트,우르곳","아트록스,벨베스,마오카이,미스 포츈,오른,라아스트,우르곳","죽음의 검,무한의 대검,구인수의 격노검,가고일 돌갑옷,워모그의 갑옷,정령의 형상,거인 학살자,수은,태양불꽃 망토,스테락의 도전,수호자의 맹세,크라운가드","N.O.V.A. 1,기동총격여신 1,구원자 1,우주 그루브 1,싸움꾼 1,습격자 1,요새 1,도전자 1,도전자 2,태고족 1,도전자 3,TFTEvent5YR_TheCrew 2",미스 포츈,오른
Akali+Belveth+Briar+Jinx+Maokai+RekSai+Rhaast,"Akali,Belveth,Briar,Jinx,Maokai,RekSai,Rhaast","Akali,Belveth,Briar,Jinx,Maokai,RekSai,Rhaast","Item_Deathblade,Item_LastWhisper,Item_Quicksilver,Item_MadredsBloodrazor,Item_Crownguard,Item_RapidFireCannon,Item_WarmogsArmor,Item_RunaansHurricane,Item_SteraksGage,Item_GargoyleStoneplate,Item_ThiefsGloves,Item_UnstableConcoction","DRX:1,HPTank:1,MeleeTrait:1,Primordian:2,RhaastUniqueTrait:1,ASTrait:1,ASTrait:2,AssassinTrait:1,AnimaSquad:1,TFTEvent5YR_Empress:2,TFTEvent5YR_Overlord:1,TFTEvent5YR_Conqueror:2",Jinx,RekSai,166,5.34,32.53,1.2,91.53,"아칼리,벨베스,브라이어,징크스,마오카이,렉사이,라아스트","아칼리,벨베스,브라이어,징크스,마오카이,렉사이,라아스트","죽음의 검,최후의 속삭임,수은,거인 학살자,크라운가드,붉은 덩굴정령,워모그의 갑옷,크라켄의 분노,스테락의 도전,가고일 돌갑옷,도적의 장갑,정의의 손길","N.O.V.A. 1,싸움꾼 1,습격자 1,태고족 2,구원자 1,도전자 1,도전자 2,불한당 1,동물특공대 1,TFTEvent5YR_Empress 2,TFTEvent5YR_Overlord 1,TFTEvent5YR_Conqueror 2",징크스,렉사이
